v1,v2, , , 
NARCISISTA,"No lo sentiria como mio, pero si sentiria algo de lastima, porque algun sufrimiento no se lo desea ni a su enemigo, en mi posicion lo comprenderia.", , , 
NARCISISTA,"Creo que si podría sentir ese sufrimiento, a todos en un momento nos a pasado cosas malas y es inevitable no ponerse en los zapatos de otros pero sin embargo considero que cada persona merece lo que da y si hace el bien entonces obtendrá el bien", , , 
NARCISISTA,Creo que toda persona  ve el beneficio propio antes de pensar en los demás ... no obstante debemos se más empáticos por aquella persona sea enemigo o quien sea poniéndonos en lugar de ellos al igual que ellos a nosotros... Pero solo son luchas de  perspectivas de ambos lados , , , 
NARCISISTA,"Nunca he tenido enemigos. Pero si alguien me hace un mal a propósito, y esa persona sufre por algún factor que no tiene que ver con el problema entre nosotros, entonces no me alegraría ni nada. Y si esa persona necesita mi ayuda de forma sincera, entonces le daría la mano. 3", , , 
NARCISISTA,"No podría entender el sufrimiento de esa persona, a solo que experimentemos el mismo sufrimiento, pero esta siempre recordar que si una persona pide tu ayuda, así el problema o sufrimiento no sea tuyo, poder ayudarlo en todo lo que este a tu alcance.", , , 
NARCISISTA,"No he tenido un enemigo real hasta ahora, pero siendo sincera creo que no lo sintiera como mío, y pues dentro de lo que más pueda lo ignoraría pero si tendría que ayudarlo y es algo muy importante si lo haría.", , , 
NARCISISTA,"No podría sentir su dolor como mío, pero sí lo que está pasando es algo grave o fuera del motivo por el cual somos enemigos, si mostraría empatía por él y no desearía que alguien se alegre de mi sufrimiento. ", , , 
NARCISISTA,Inevitablemente sentiría empatía. No podría alegrarme por el sufrimiento de una persona al menos que alguna vez lo haya provocado a mí o a un tercero., , , 
NARCISISTA,"La verdad no, porque capas tiene un sufrimiento muy fuerte, y no podemos sentir eso, lo que haría es ignorar y cambiar el tema ya que, si es mi enemigo quiero una pele justa no aprovecharme de la situación de el.", , , 
NARCISISTA,"El hecho que sea mi enemigo no quiera decir que no tenga sentimientos, asi que si se deja ayudar pues lo hago", , , 
NARCISISTA,"No sentiría nada, simplemente si está en mi posibilidad ayudar, lo hago, sino, para la próxima será.", , , 
NARCISISTA,"En lo personal, yo no le tengo rencor a nadie y considero que tampoco tengo enemigos, pero de ser el caso trataría de ayudarlo en lo que pueda tampoco quisiera entrometerme mucho.", , , 
NARCISISTA,Trataría de pensar mucho y ayudaría a la familia con apoyo moral , , , 
NARCISISTA,"Incluso esto se puede ver en los prejuicios de la sociedad, así tu tengas menos que alguien que te envidie, este te seguirá envidiando aún tu estés en la miseria debido a que eres feliz y para la otra persona esto es malo. ", , , 
NARCISISTA,"No tengo ningún enemigo, pero si hablamos en alguna suposición no sintiera nada al respecto, si veo que necesita mi ayuda, lo ayudo porque a pesar de todo somos humanos y cualquier persona puede cometer errores.", , , 
NARCISISTA,"No lo sentiría como mi sufrimiento, sin embargo tampoco sentiría felicidad por la angustia de otra persona, eso no es ser una persona ética", , , 
NARCISISTA,"No tengo ningún tipo de enemigos, ayudaría a cualquier persona conocida o desconocida sin ningún problema, claro está si esta persona desea mi respectiva ayuda. De lo contrario, de no necesitar o querer mi ayuda, realmente me daría igual.", , , 
NARCISISTA,"Pienso que actuando en consecuencia, el dolor ajeno se trate de quien se trate es algo malo, en cierto modo pensaria que el karma le estaría devolviendo el daño causado, pero si sentiría algo de tristeza por esa persona.", , , 
NARCISISTA,"Pues no considero a nadie como mi peor enemigo, pero soy de la idea que no debemos desearle el mal a nadie y ante esta pregunta mi pensar es que no lo sentiría como mío pero si me gustaría ayudarlo aunque sea de manera indirecta.", , , 
NARCISISTA,"No he tenido enemigos, ni espero tenerlos pero en casos así no lo sentiría como si el problema fuera fuera mío, pero si daría un apoyo de fortaleza hacia esa persona que está sufriendo", , , 
